numbers,parameters,var,tubeplace,sobol_sine,sobol_pinch
1,Wo,Q,Upper,0.0078161634000000,0.0005606269900000
2,CR,Q,Upper,0.950858230000000,0.988539280000000
3,f,Q,Upper,0.0328882170000000,0.0048664065000000
4,Wo&CR,Q,Upper,0.0012920717,0.00056580628
5,Wo&f,Q,Upper,0.00023921699,0.0030198927
6,CR&f,Q,Upper,0.0068911532,0.0021761128
7,All,Q,Upper,0.000014950163,0.00027187939
1,Wo,UpperUmavg,Upper,0.012150763,0.0023995646
2,CR,UpperUmavg,Upper,0.894935440000000,0.987670540000000
3,f,UpperUmavg,Upper,0.0673932690000000,0.0057550232000000
4,Wo&CR,UpperUmavg,Upper,0.0012777981,0.00027515161
5,Wo&f,UpperUmavg,Upper,0.0003277589,0.0017697025
6,CR&f,UpperUmavg,Upper,0.02384616,0.002052918
7,All,UpperUmavg,Upper,0.000068816167,0.000077104019
1,Wo,UpperUmpeak,Upper,0.043955421,0.0024312588
2,CR,UpperUmpeak,Upper,0.86673052,0.97786173
3,f,UpperUmpeak,Upper,0.065539908,0.004924068
4,Wo&CR,UpperUmpeak,Upper,0.0073086751,0.012787446
5,Wo&f,UpperUmpeak,Upper,0.0017082149,0.00134156
6,CR&f,UpperUmpeak,Upper,0.014376546,0.00044793776
7,All,UpperUmpeak,Upper,0.00038071398,0.00020599912
1,Wo,ConnectUmavg,Connect,0.0031885421,0.0040580579
2,CR,ConnectUmavg,Connect,0.912563050000000,0.984014060000000
3,f,ConnectUmavg,Connect,0.0469189980000000,0.0055774697000000
4,Wo&CR,ConnectUmavg,Connect,0.0014328329,0.00052626648
5,Wo&f,ConnectUmavg,Connect,0.0067518548,0.0019611638
6,CR&f,ConnectUmavg,Connect,0.029143846,0.0035775008
7,All,ConnectUmavg,Connect,0.0000008753991,0.0002854857
1,Wo,ConnectUmpeak,Connect,0.0094053444000000,0.0014711379000000
2,CR,ConnectUmpeak,Connect,0.854637400000000,0.989875580000000
3,f,ConnectUmpeak,Connect,0.0863814600000000,0.0012873609000000
4,Wo&CR,ConnectUmpeak,Connect,0.0062970858,0.0022425169
5,Wo&f,ConnectUmpeak,Connect,0.022211269,0.0024070028
6,CR&f,ConnectUmpeak,Connect,0.020065442,0.0024811087
7,All,ConnectUmpeak,Connect,0.0010020029,0.00023529638
1,Wo,AortaUmavg,Aorta,0.003468450500000,0.004072485600000
2,CR,AortaUmavg,Aorta,0.908926910000000,0.986250960000000
3,f,AortaUmavg,Aorta,0.0503266040000000,0.0027640058000000
4,Wo&CR,AortaUmavg,Aorta,0.0016097332,0.0028583266
5,Wo&f,AortaUmavg,Aorta,0.0061956653,0.0027187144
6,CR&f,AortaUmavg,Aorta,0.029469219,0.001200984
7,All,AortaUmavg,Aorta,0.0000034192593,0.00013452818
1,Wo,AortaUmpeak,Aorta,0.015341443000000,0.052393494000000
2,CR,AortaUmpeak,Aorta,0.8986375900000000,0.9080727100000000
3,f,AortaUmpeak,Aorta,0.058205920000000,0.001633536000000
4,Wo&CR,AortaUmpeak,Aorta,0.0033251577,0.027873238
5,Wo&f,AortaUmpeak,Aorta,0.00096093579,0.0081211673
6,CR&f,AortaUmpeak,Aorta,0.022574355,0.0013500061
7,All,AortaUmpeak,Aorta,0.00095459663,0.00055584768
1,Wo,VenaUmavg,Vena,0.003065357200000,0.000561460970000
2,CR,VenaUmavg,Vena,0.912936350000000,0.989896550000000
3,f,VenaUmavg,Vena,0.0533963140000000,0.0059571796000000
4,Wo&CR,VenaUmavg,Vena,0.0014654119,0.00051679777
5,Wo&f,VenaUmavg,Vena,0.003231048,0.0015191054
6,CR&f,VenaUmavg,Vena,0.025902882,0.0015154544
7,All,VenaUmavg,Vena,0.0000026395741,0.000033450647
1,Wo,VenaUmpeak,Vena,0.036964959000000,0.034818757000000
2,CR,VenaUmpeak,Vena,0.771019930000000,0.858982590000000
3,f,VenaUmpeak,Vena,0.1054187500000000,0.0186992360000000
4,Wo&CR,VenaUmpeak,Vena,0.012296173,0.0070715586
5,Wo&f,VenaUmpeak,Vena,0.046044184,0.031548488
6,CR&f,VenaUmpeak,Vena,0.026862528,0.020739217
7,All,VenaUmpeak,Vena,0.0013934752,0.028140151
1,Wo,AortaP,Aorta,0.523210970000000,0.412242350000000
2,CR,AortaP,Aorta,0.0180995360000000,0.1569581600000000
3,f,AortaP,Aorta,0.261630440000000,0.291506110000000
4,Wo&CR,AortaP,Aorta,0.092691691,0.070297389
5,Wo&f,AortaP,Aorta,0.066870435,0.041804468
6,CR&f,AortaP,Aorta,0.029990804,0.022768243
7,All,AortaP,Aorta,0.0075061284,0.0044232763
1,Wo,VenaP,Vena,0.6971638000000000,0.2732539500000000
2,CR,VenaP,Vena,0.0615984980000000,0.0804810350000000
3,f,VenaP,Vena,0.103732520000000,0.545974130000000
4,Wo&CR,VenaP,Vena,0.096477638,0.050701195
5,Wo&f,VenaP,Vena,0.029776216,0.021344339
6,CR&f,VenaP,Vena,0.0068044278,0.02662382
7,All,VenaP,Vena,0.0044469005,0.0016215271
1,Wo,DeltaP,Aorta,0.77964157,0.38723518
2,CR,DeltaP,Aorta,0.09276829,0.38979815
3,f,DeltaP,Aorta,0.041933203,0.062176034
4,Wo&CR,DeltaP,Aorta,0.052031268,0.10805213
5,Wo&f,DeltaP,Aorta,0.013734312,0.035707425
6,CR&f,DeltaP,Aorta,0.018698316,0.0031881762
7,All,DeltaP,Aorta,0.00119304090000000,0.0138429060000000
1,Wo,COT,Aorta,0.10020000000000000,0.156800000000000
2,CR,COT,Aorta,0.38100000000000000,0.7232000000000000
3,f,COT,Aorta,0.28960000000000000,0.0533
4,Wo&CR,COT,Aorta,0.00650000000000000,0.0134
5,Wo&f,COT,Aorta,0.13630000000000000,0.0301
6,CR&f,COT,Aorta,0.07860000000000000,0.0083000000000000
7,All,COT,Aorta,0.00790000000000000,0.0149
1,Wo,Work,Aorta,0.17848462120953500,0.412422812924709
2,CR,Work,Aorta,0.34074631605325000,0.148960234762026
3,f,Work,Aorta,0.39166954000686200,0.274111907222162
4,Wo&CR,Work,Aorta,0.02638547372179600,0.036384862261935
5,Wo&f,Work,Aorta,0.01769625768382900,0.102925474200019
6,CR&f,Work,Aorta,0.04455437121411700,0.017924698342412
7,All,Work,Aorta,0.00046342011061200,0.007270010286737